,0
150,"{'id': '1380147419829133313', 'text': '""So please, if you drive an electric vehicle, switch on your sound emitter. After all, you wouldn’t drive at night without your lights on, it’s the same. I fear for our lives and those of these two amazing dogs.""'}"
151,"{'id': '1380147155654955009', 'text': 'Good point by @endearingrecord, that NDP in BC did pass an EV incentive and it’s working: https://t.co/OeoTkKvO4u'}"
152,"{'id': '1380146998469406722', 'text': ""RT @WBrettWilson: Saskatchewan's incoming electric vehicle tax sends 'wrong message,' advocates say - @GlobalNews\n\nWell advocates also say…""}"
153,"{'id': '1380146969746804737', 'text': ""RT @WSBConsensus: EV'S ( $TSLA, $GM, $F ): The Biden administration’s USD 174bln proposal to boost electric vehicles calls for USD 100bln i…""}"
154,"{'id': '1380146822816075776', 'text': ""RT @ChinaDaily: Chinese electric car maker Nio's 100,000th vehicle rolled off the production line on Wednesday in Hefei, capital of East Ch…""}"
155,"{'id': '1380146782584381441', 'text': ""RT @Klp168: NIO's William Li says second sedan will be launched in the future, more competitive than Tesla Model 3 https://t.co/55OXh87i8E…""}"
156,"{'id': '1380146769569312771', 'text': 'RT @indianscinews: Leading edge #technique to boost #ElectricVehicles #Battery performance\n#research #innovation #tech \n@IITGuwahati @Direc…'}"
157,"{'id': '1380146599934889985', 'text': 'RT @indianscinews: Leading edge #technique to boost #ElectricVehicles #Battery performance\n#research #innovation #tech \n@IITGuwahati @Direc…'}"
158,"{'id': '1380146597896593417', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
159,"{'id': '1380146425556692996', 'text': 'RT @GratomicInc: Gratomic Intends to Fully Power its Aukam Processing Facility Through Solar Energy by 2022\n\nClick the link to view the ful…'}"
160,"{'id': '1380146352693379073', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
161,"{'id': '1380146309080834051', 'text': ""RT @WSBConsensus: EV'S ( $TSLA, $GM, $F ): The Biden administration’s USD 174bln proposal to boost electric vehicles calls for USD 100bln i…""}"
162,"{'id': '1380146282673545223', 'text': ""RT @WSBConsensus: EV'S ( $TSLA, $GM, $F ): The Biden administration’s USD 174bln proposal to boost electric vehicles calls for USD 100bln i…""}"
163,"{'id': '1380146282203770885', 'text': 'RT @rezzyredhonky: “What if we took and added a camper to an electric vehicle? So people can take their electric vehicle where there’s no e…'}"
164,"{'id': '1380146253523251200', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
165,"{'id': '1380146227875094531', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
166,"{'id': '1380146199940988932', 'text': ""RT @WSBConsensus: EV'S ( $TSLA, $GM, $F ): The Biden administration’s USD 174bln proposal to boost electric vehicles calls for USD 100bln i…""}"
167,"{'id': '1380146124422582278', 'text': ""EV'S ( $TSLA, $GM, $F ): The Biden administration’s USD 174bln proposal to boost electric vehicles calls for USD 100bln in new consumer rebates and USD 15bln to build 500k new electric vehicle charging stations, via Transportation Department email sent to congressional staff.""}"
168,"{'id': '1380146107787841537', 'text': '@markbylok https://t.co/3OcXeu80rm'}"
169,"{'id': '1380146046689554436', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
170,"{'id': '1380146019522945027', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
171,"{'id': '1380146013663547398', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
172,"{'id': '1380145931497136129', 'text': ""RT @SawyerMerritt: BREAKING: The Biden administration's $174 Billion proposal to boost electric vehicles calls for $100 Billion in new cons…""}"
173,"{'id': '1380145900421476357', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
174,"{'id': '1380145851327201281', 'text': ""RT @ChinaDaily: Chinese electric car maker Nio's 100,000th vehicle rolled off the production line on Wednesday in Hefei, capital of East Ch…""}"
175,"{'id': '1380145832335380480', 'text': 'So looking for an answer from @LeedsCC_News @Leeds_Highways regarding electric car charging in terrace areas. Are Leeds going to preclude that vast majority of terrace areas having an electric vehicle? We would like to share one with our neighbours but looks like we can’t..'}"
176,"{'id': '1380145791403225089', 'text': 'RT @cvpayne: BIDEN INFRASTRUCTURE PLAN CALLS FOR $100 BILLION FOR NEW CONSUMER ELECTRIC VEHICLE REBATES --EMAIL TO CONGRESSIONAL STAFF SEEN…'}"
177,"{'id': '1380145766887489536', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
178,"{'id': '1380145736294146051', 'text': 'Join us for the virtual grand opening event of UL’s European EV charging laboratory. Meet the leading industry experts of the EV value chain, UL’s EV charging experts, and hear about UL’s laboratory capabilities in Europe. #emobility #evcharging #IamUL https://t.co/YeJ79lI7FP'}"
179,"{'id': '1380145698277036033', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
180,"{'id': '1380145559672082436', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
181,"{'id': '1380145548985036800', 'text': 'RT @chigrl: #Aluminium is about to hit a supply wall\nIt is estimated that the average aluminium content in an electric vehicle will be abou…'}"
182,"{'id': '1380145480856915973', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
183,"{'id': '1380145425005617161', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
184,"{'id': '1380145289407893512', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
185,"{'id': '1380145275977789442', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
186,"{'id': '1380145250098941952', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
187,"{'id': '1380145221514752001', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
188,"{'id': '1380145063326482433', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
189,"{'id': '1380145038617767941', 'text': 'Electric Vehicle Checkpoint: Cramer on Tesla, NIO, and Plug Power https://t.co/6rVHCllqd5'}"
190,"{'id': '1380145023208071178', 'text': 'RT @GazetteNGR: NITT to produce Nigeria’s first electric vehicle https://t.co/KZ9eDlRcP4'}"
191,"{'id': '1380144969739030531', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
192,"{'id': '1380144953838473216', 'text': 'RT @Investingcom: *BIDEN INFRASTRUCTURE PLAN CALLS FOR $100 BILLION FOR NEW CONSUMER ELECTRIC VEHICLE REBATES https://t.co/J573dyxq4X'}"
193,"{'id': '1380144827963170821', 'text': ""RT @SawyerMerritt: BREAKING: The Biden administration's $174 Billion proposal to boost electric vehicles calls for $100 Billion in new cons…""}"
194,"{'id': '1380144817129279488', 'text': 'Fox News: Electric vehicles are dumb. Nobody wants them, they\'re too expensive, they get no mileage, and there\'s nowhere to charge them.\n\nFox News when GM pays money: The Hummer is BACK and FULLY CHARGED. Introducing the NEW HUMMER EV, or ""electric vehicle""! No more gas guzzling! https://t.co/yVjJpTwCGy'}"
195,"{'id': '1380144769762914311', 'text': 'Rubber Tyre Gantry Crane Market is expected to witness 4.6% CAGR by 2027\nMore Info- https://t.co/fD0OvZNnku\n\n#vehicle #Automotive #Electric #Hybrid #Power #Diesel #cars #Crane #Tyre #Rubbertyre'}"
196,"{'id': '1380144448621907971', 'text': 'RT @eVolt_UK: #ThrowbackThursday We have been installing publicly available electric vehicle rapid chargers for over a decade.  10 years af…'}"
197,"{'id': '1380144389792657413', 'text': 'RT @UDUSOK: The National Automative Design and Development Council (NADDC) Electronic Vehicle Pilot Project in collaboration with Usmanu Da…'}"
198,"{'id': '1380144019984904193', 'text': 'RT @ErikSolheim: Bravo!\nDelhi Startup’s ‘2 Minute’ Solution Helps 300+ E-rickshaw Drivers Earn 2x Daily income. E rickshaws are taking off…'}"
199,"{'id': '1380143913596518403', 'text': ""@FoxBusiness You first have to be able to afford an electric vehicle. Where is the Left's outrage over another give-a-way to the wealthy?""}"
200,"{'id': '1380143820071870468', 'text': 'The fate of automakers will be determined by how executives balance the decline of the internal-combustion engine with the rise of battery power, along with other drivetrains. https://t.co/uKahH1qLEJ'}"
201,"{'newest_id': '1380150844092452870', 'oldest_id': '1380143820071870468', 'result_count': 100, 'next_token': 'b26v89c19zqg8o3fostqs7nngv0tjiap6253fxezt91fh'}"
202,"{'id': '1380143664559763459', 'text': 'Did you know the cheapest electric car currently available is the Renault Twizy?\nThis tiny little vehicle starts from just £11,995 new, and is arguably one of the most interesting looking cars ever made.\nIt has a top speed of just 50mph and barely room for a passenger! Thoughts? https://t.co/W5ivPENMhh'}"
203,"{'id': '1380143530316857345', 'text': 'Future is now! Are you EV ready?\n\nLearn how National Car Charging can help you build customer loyalty with electric vehicle charging.\nhttps://t.co/XginquocfS\n\n#driveelectric #thefutureisnow #EV #zeroemissions'}"
204,"{'id': '1380143511262072832', 'text': 'AMPLY has helped the Palermo school buses go electric with funding and will manage infrastructure installation and operations to guarantee vehicle uptime. Find out more:\n#ZeroEmissions #EVcharging\n https://t.co/9u7NpwINKC https://t.co/PRAAPWddQJ'}"
205,"{'id': '1380143476449370116', 'text': 'From new battery improvements to charging tech, find out why the electric vehicle industry is accelerating. #evtrends #electricvehicle https://t.co/ezuygsDPfa'}"
206,"{'id': '1380143476042530819', 'text': 'BMW and PG&amp;E think electric vehicles could stabilize California grid https://t.co/0e4dPFIIql #evs'}"
207,"{'id': '1380143465728729091', 'text': 'Shoshana Lew, @ColoradoDOT executive director, explains how state DOTs will play a critical role in rolling out #EV #infrastructure on the latest #ETAP podcast. #transportation @aashtospeaks @GovofCO @USDOT https://t.co/4EhWagNzHj https://t.co/60Ki3gXcL6'}"
208,"{'id': '1380143388759109635', 'text': 'Under H.433, VT’s Transportation Bill, income-eligible Vermonters would receive up to $4k toward the purchase of a new, all-electric vehicle or up to $3k for a new, hybrid electric vehicle. Ask your Senators to support H.433, the “T-Bill”! Find them here: https://t.co/KR6b20yL2C https://t.co/u0VXKiDBWh'}"
209,"{'id': '1380143327702478853', 'text': 'RT @GratomicInc: Gratomic Intends to Fully Power its Aukam Processing Facility Through Solar Energy by 2022\n\nClick the link to view the ful…'}"
210,"{'id': '1380142847110823936', 'text': 'RT @_Abdulaxix: UDUS set to commission first ever solar powered electric vehicle charging station in Nigeria. https://t.co/NkoB6r3JAu'}"
211,"{'id': '1380142750318870536', 'text': 'RT @cvpayne: BIDEN INFRASTRUCTURE PLAN CALLS FOR $100 BILLION FOR NEW CONSUMER ELECTRIC VEHICLE REBATES --EMAIL TO CONGRESSIONAL STAFF SEEN…'}"
212,"{'id': '1380142642957328385', 'text': '$FLT NEW ARTICLE : FLEETCOR® Invests in UK Electric Vehicle Re-Charging Software Company https://t.co/FV3vTbi2px Get all the latest $FLT related news here : https://t.co/ACMu9GnREd https://t.co/8R9ucI6odu'}"
213,"{'id': '1380142577203228675', 'text': 'RT @EnergySvgTrust: #Electricvehicles will play a key role in the transition to a low carbon transport system.\n\nWe take a closer look at th…'}"
214,"{'id': '1380142468839006220', 'text': 'RT @Investingcom: *BIDEN INFRASTRUCTURE PLAN CALLS FOR $100 BILLION FOR NEW CONSUMER ELECTRIC VEHICLE REBATES https://t.co/J573dyxq4X'}"
215,"{'id': '1380142399687692288', 'text': 'RT @CampanaleMark: Electric Vehicle Sales Promise Shock for Big Oil.  If motor manufacturers are right about the prospects for electric veh…'}"
216,"{'id': '1380142378959396872', 'text': 'RT @cvpayne: BIDEN INFRASTRUCTURE PLAN CALLS FOR $100 BILLION FOR NEW CONSUMER ELECTRIC VEHICLE REBATES --EMAIL TO CONGRESSIONAL STAFF SEEN…'}"
217,"{'id': '1380142350232588291', 'text': 'Swedish electric vehicle (#EV) manufacturer #Polestar has unveiled its intention to create the first ""truly"" carbon-neutral car by 2030, by reducing emissions across the value chain and without relying on offsetting. | @edie\nhttps://t.co/r2dAloWtd1'}"
218,"{'id': '1380142257240702976', 'text': '$FLT FLEETCOR® Invests in UK Electric Vehicle Re-Charging Software Company https://t.co/rpTm2xEj8h'}"
219,"{'id': '1380142119889772545', 'text': 'Will Internal Combustion Engines go the way of the fixed line telephony in the medium term? What are the key battlegrounds for electric vehicle market share? Our third electric vehicle teardown aims to answer these questions and more. #UBSResearch'}"
220,"{'id': '1380142118199513090', 'text': 'Will Internal Combustion Engines go the way of the fixed line telephony in the medium term? What are the key battlegrounds for electric vehicle market share? Our third electric vehicle teardown aims to answer these questions and more. #UBSResearch'}"
221,"{'id': '1380142115276079104', 'text': 'What did our third electric vehicle teardown reveal about the auto and mobility industries? Can 100% electric vehicle market share be a reality by 2040? #UBSResearch'}"
222,"{'id': '1380142111958372358', 'text': 'We think that by 2040 every new car sold in the world could be 100% electric. Can conventional auto makers profitably participate in this booming market? Our third electric vehicle teardown answers this question. #UBSResearch'}"
223,"{'id': '1380141984174772226', 'text': 'RT @FoxBusiness: Biden spending plan includes $100B for electric vehicle rebates\n\nhttps://t.co/IpO2nN9W1G'}"
224,"{'id': '1380141961248604161', 'text': 'So many creative win-win opportunities arise with green renewable solutions! Besides shade for cyclists, these kinds highway median solar panels will be a great way to power electric vehicle charging stations. https://t.co/vtyeNrX7sQ'}"
225,"{'id': '1380141881540116480', 'text': 'RT @chigrl: #Aluminium is about to hit a supply wall\nIt is estimated that the average aluminium content in an electric vehicle will be abou…'}"
226,"{'id': '1380141606104354820', 'text': ""RT @PepMalagrava: 🅿️🔋Aparcaments amb fotovoltaica a sobre i punt de recàrrega. Projectes d'autoconsum i foment del vehicle elèctric, dos ei…""}"
227,"{'id': '1380141589209710603', 'text': 'FleetCor invests in UK electric vehicle re-charging software company\n$FLT'}"
228,"{'id': '1380141494674329603', 'text': 'The Nigerian Institute of Transport Technology (NITT) has set up a 22-member project team to develop an electric vehicle.\nhttps://t.co/9EKdrjxaBr https://t.co/U7KK2aXbt6'}"
229,"{'id': '1380141409664167938', 'text': '$FLT FLEETCOR® Invests in UK Electric Vehicle Re-Charging Software Company...\nFrom our Stock News Alerts App'}"
230,"{'id': '1380141334992936962', 'text': ""EV owners get large subsidies to buy cars. They are generally rich people and second cars. But they don't want to pay for roads and maintenance like the rest of us!   @GasPriceWizard\n\nhttps://t.co/DJisSRMcFs""}"
231,"{'id': '1380141085322850304', 'text': '@crashfrog @ValaAfshar Really?https://t.co/h20TGnbLw8'}"
232,"{'id': '1380141044046565377', 'text': 'RT @ErikSolheim: Bravo!\nDelhi Startup’s ‘2 Minute’ Solution Helps 300+ E-rickshaw Drivers Earn 2x Daily income. E rickshaws are taking off…'}"
233,"{'id': '1380140967207043072', 'text': ""RT @PepMalagrava: 🅿️🔋Aparcaments amb fotovoltaica a sobre i punt de recàrrega. Projectes d'autoconsum i foment del vehicle elèctric, dos ei…""}"
234,"{'id': '1380140950295613455', 'text': ""RT @WBrettWilson: Saskatchewan's incoming electric vehicle tax sends 'wrong message,' advocates say - @GlobalNews\n\nWell advocates also say…""}"
235,"{'id': '1380140838831845379', 'text': 'FLEETCOR® Invests in UK Electric Vehicle Re-Charging Software Company \nhttps://t.co/83r8EYGlLM\n#BusinessWire #Trucking #Transportation #Shipping #Logistics\nFollow @AFTvitaliy https://t.co/ZpMDMyngv0'}"
236,"{'id': '1380140755633590272', 'text': 'RT @DeItaone: BIDEN INFRASTRUCTURE PLAN CALLS FOR $100 BILLION FOR NEW CONSUMER ELECTRIC VEHICLE REBATES --EMAIL TO CONGRESSIONAL STAFF SEE…'}"
237,"{'id': '1380140751846305794', 'text': '$FLT [15s. delayed]: Issued Press Release on April 08, 08:47:00: FLEETCOR® Invests in UK Electric Vehicle Re-Charging Software Company https://t.co/Z7l90jknfH'}"
238,"{'id': '1380140636238708739', 'text': '#RT @FredKrupp: RT @CleanAirMoms: 👏🏼👏🏼👏🏼👏🏼How to Ensure Electric Vehicle Charging Infrastructure Is Accessible to Everyone https://t.co/SSVX3GWJEU via @EARTH3R'}"
239,"{'id': '1380140632623218689', 'text': '@bazscott I would like to stop burning used dinosaurs, but when the cost of an electric vehicle is twice that of a petroleum-based vehicle, it becomes incredibly bitter pill to swallow.'}"
240,"{'id': '1380140425080668164', 'text': 'As Joe Biden Offers $174 Billion In Assistance For Business, Tesla And Other Electric Vehicle Stocks Grow https://t.co/N9VOEiB0dw'}"
241,"{'id': '1380140383355691008', 'text': 'FLEETCOR® Invests in UK Electric Vehicle Re-Charging Software Company $FLT https://t.co/fC3QWGMdUJ'}"
242,"{'id': '1380140233946062852', 'text': '$FLT 📰 FLEETCOR® Invests in UK Electric Vehicle Re-Charging Software Company\n\nhttps://t.co/w6vEM1ZTzk\n\n#businessservices #miscellaneous'}"
243,"{'id': '1380140230200733698', 'text': 'RT @EVSociety: EV Society is proud to introduce our new logo!\n\nAs we strive to connect with more people, we want our brand to be modern, en…'}"
244,"{'id': '1380140224949407744', 'text': 'RT @TS_Lombard: Geopolitical tensions on the rise. Auto sector next in the firing line? Electric Vehicle batteries are key, China has them…'}"
245,"{'id': '1380140186974232577', 'text': '$FLT FLEETCOR® Invests in UK Electric Vehicle Re-Charging Software Company\nhttps://t.co/ixUdQuWcXk'}"
246,"{'id': '1380140053217742850', 'text': 'RT @eOrganiser: Leading-edge technique to boost electric vehicle battery performance https://t.co/mweHfgLRqw via @eOrganiser'}"
247,"{'id': '1380140044061708291', 'text': 'RT @EV_Resource: “Of the 36 states covered by the report, just 6 require utilities to invest in EV charging infrastructure for lower-income…'}"
248,"{'id': '1380140032791613440', 'text': ""RT @PepMalagrava: 🅿️🔋Aparcaments amb fotovoltaica a sobre i punt de recàrrega. Projectes d'autoconsum i foment del vehicle elèctric, dos ei…""}"
249,"{'id': '1380139957407211522', 'text': ""RT @facts_tesla: @cleantechnica It's great to see Germany hit 10.3% electric vehicle (BEV) share for the month👏\n\nNow imagine what progress…""}"
250,"{'id': '1380139955251515395', 'text': 'RT @cvpayne: BIDEN INFRASTRUCTURE PLAN CALLS FOR $100 BILLION FOR NEW CONSUMER ELECTRIC VEHICLE REBATES --EMAIL TO CONGRESSIONAL STAFF SEEN…'}"
251,"{'id': '1380139939711512578', 'text': 'RT @RichieMerzian: Victorian focus group backs ban on sale of petrol cars by 2030 as part of electric vehicle push in @theage by @perkinsmi…'}"
252,"{'id': '1380139908816326665', 'text': 'Eaton power distribution technology chosen for new electric vehicle platform https://t.co/0VlvNicGkU #paisanorepair https://t.co/Rgkozhcbaw'}"
253,"{'id': '1380139817812516864', 'text': ""🅿️🔋Aparcaments amb fotovoltaica a sobre i punt de recàrrega. Projectes d'autoconsum i foment del vehicle elèctric, dos eixos que es poden juntar com ha fet @AjCiutadella amb fons #ITS i aprofundeixen en la #transicióenergètica\nEl model que hem de seguir a les  illes, seguim💪 https://t.co/LRoEuLEzlX""}"
254,"{'id': '1380139784178446339', 'text': ""RT @ChinaDaily: Chinese electric car maker Nio's 100,000th vehicle rolled off the production line on Wednesday in Hefei, capital of East Ch…""}"
255,"{'id': '1380139745351774211', 'text': 'RT @EVSociety: EV Society is proud to introduce our new logo!\n\nAs we strive to connect with more people, we want our brand to be modern, en…'}"
256,"{'id': '1380139679731875846', 'text': '@thefive so everyone is talking about electric vehicles. My question is how long does it take to recharge my electric vehicle?  Currently it takes about 15 minutes to refill my gas engine vehicle after 250 miles.'}"
257,"{'id': '1380139663373914117', 'text': ""@cleantechnica It's great to see Germany hit 10.3% electric vehicle (BEV) share for the month👏\n\nNow imagine what progress could have been made if a govt conned into squandering incentive funds on fossil fuel cars with a plug spent that money on full EVs instead?\n\nhttps://t.co/6XCx1CQbsk""}"
258,"{'id': '1380139637415555073', 'text': 'RT @pluginadventure: I am really excited to finally announce my next expedition. \nTo be the worlds first person to drive from Pole to Pole,…'}"
259,"{'id': '1380139630771769346', 'text': 'RT @CleanAirMoms: 👏🏼👏🏼👏🏼👏🏼How to Ensure Electric Vehicle Charging Infrastructure Is Accessible to Everyone https://t.co/SSVX3GWJEU via @EAR…'}"
260,"{'id': '1380139612467687425', 'text': 'RT @GratomicInc: Gratomic Intends to Fully Power its Aukam Processing Facility Through Solar Energy by 2022\n\nClick the link to view the ful…'}"
261,"{'id': '1380139557203685382', 'text': 'Hey Saskatchewan, you made Montréal radio for your electric vehicle road-use tax!\n\nIt was a nice brightener that provided everyone some giggles on a dreary morning.'}"
262,"{'id': '1380139546956926981', 'text': 'RT @cvpayne: BIDEN INFRASTRUCTURE PLAN CALLS FOR $100 BILLION FOR NEW CONSUMER ELECTRIC VEHICLE REBATES --EMAIL TO CONGRESSIONAL STAFF SEEN…'}"
263,"{'id': '1380139531542859780', 'text': ""RT @SawyerMerritt: BREAKING: The Biden administration's $174 Billion proposal to boost electric vehicles calls for $100 Billion in new cons…""}"
264,"{'id': '1380139371278393344', 'text': 'RT @Steve_Meade: \u2066@DanielAndrewsMP\u2069 , Victoria needs to go ‘faster than we are’ on electric vehicles. Victoria should lead the EV transitio…'}"
265,"{'id': '1380139340416831490', 'text': '@cdaleinbasement @susiepotatoes1 Right. So you’re saying there should be a vehicle miles traveled tax for electric vehicles?'}"
266,"{'id': '1380139323669028869', 'text': 'Waiting to see where the current frenzy for electric vehicle ends up the source of power (green or coal or both) lithium and rare minerals for batteries  (where to source in environmental sensitive areas) and finally where to dump all those toxic battery chemicals...'}"
267,"{'id': '1380139307139207169', 'text': ""RT @ChinaDaily: Chinese electric car maker Nio's 100,000th vehicle rolled off the production line on Wednesday in Hefei, capital of East Ch…""}"
268,"{'id': '1380139299811815434', 'text': 'RT @FoxBusiness: Biden spending plan includes $100B for electric vehicle rebates\n\nhttps://t.co/IpO2nN9W1G'}"
269,"{'id': '1380139279523872768', 'text': 'RT @RichieMerzian: Victorian focus group backs ban on sale of petrol cars by 2030 as part of electric vehicle push in @theage by @perkinsmi…'}"
270,"{'id': '1380139075999502339', 'text': ""📅Next 23-24 JUNE, Rotterdam will host the ACI’s 'European Electric Vehicle Batteries Summit'.\n\n🗣️Oscar Miguel Crespo will be protagonist with speakers from enterprises such as Hyundai, Huawei, Jaguar Land Rover or Daimler.\n\n🟢#CidetecEnergyStorage #GreenFuture https://t.co/bOQatYzvcI""}"
271,"{'id': '1380138958147919878', 'text': 'RT @khaleejtimes: Dubai unveils world’s first electric fire engine\n\nThe world’s first electric firefighting truck has been unveiled in #Dub…'}"
272,"{'id': '1380138947708252166', 'text': 'RT @DjDarroo: https://t.co/THXLMZlFy5\n\n$GRAT $CBULF \n\n$TGIF  $ACRG $LHS $PILL $JWCA $WMD $SNDL $NEPT $LABS $OILS $KHRN $FONE $SAFE $CWEB $K…'}"
273,"{'id': '1380138808365121538', 'text': ""RT @ChinaDaily: Chinese electric car maker Nio's 100,000th vehicle rolled off the production line on Wednesday in Hefei, capital of East Ch…""}"
274,"{'id': '1380138613128695813', 'text': ""#ThrowbackThursday We have been installing publicly available electric vehicle rapid chargers for over a decade.  10 years after installation, still going strong! Any idea where this is? It's NOT in #Edinburgh #EV #Chargers https://t.co/dberi28ell""}"
275,"{'id': '1380138583688802309', 'text': 'RT @MarkBaileyMP: Morrison government under pressure to redo ‘misleading’ electric vehicle modelling | The New Daily https://t.co/LJDMkZGu2Z'}"
276,"{'id': '1380138536146452481', 'text': 'Sundyne Named a Finalist for the Colorado Manufacturing Award’s Industrial/Equipment Manufacturer of the Year\n\nStability in Core Markets plus Opportunities in New Markets such as Electric Vehicle Battery Production, Hydrogen Fuel Cells and Pharmaceutical https://t.co/z3vdF59IzG'}"
277,"{'id': '1380138511765016577', 'text': '@PatUnleashed Tesla no longer eligible for Electric Vehicle Tax Credit. https://t.co/8HC3VuByEK'}"
278,"{'id': '1380138504810766336', 'text': '“This is clearly a slap in the face of people who believe in climate change and believe that they have a personal responsibility and they should do something about it,” Bruneau said. @usask #skpoli #ClimateEmergency https://t.co/KdsGPbreSJ'}"
279,"{'id': '1380138496392896514', 'text': ""RT @vincent13031925: Biden Administration's Proposal to Boost Electric Vehicle Sales Calls for $100 Billion in New Consumer Rebates\n\nhttps:…""}"
280,"{'id': '1380138427274817541', 'text': 'Biden spending plan includes $100B for electric vehicle rebates https://t.co/mnBUI72qSF #FoxBusiness'}"
281,"{'id': '1380138413098160128', 'text': '@jimcramer https://t.co/s8tIwNKoIs'}"
282,"{'id': '1380138368827265024', 'text': ""Chinese electric car maker Nio's 100,000th vehicle rolled off the production line on Wednesday in Hefei, capital of East China's Anhui province. #ElectricVehicle #automobile #China #tech https://t.co/7PuBB2E5Rn https://t.co/cmibGLzLz2""}"
283,"{'id': '1380138308420968449', 'text': 'Biden spending plan includes $100B for electric vehicle rebates\n\nhttps://t.co/IpO2nN9W1G'}"
284,"{'id': '1380138248916369408', 'text': 'RT @World_EV_Day: Did you know that on average, electric cars are cheaper to run than their petrol or diesel counterparts?\n\nResearch conduc…'}"
285,"{'id': '1380138091458007041', 'text': 'US market share of plug-in EV sales is only 1/3 the size of the Chinese EV market, according to the $2 trillion American Jobs Plan.\n\nJefferies unveils 15 Chinese EV stocks to buy as it projects 2.6 million NEVs sold in China by 2022. \n\nhttps://t.co/kDMiELUNmB\n\n$NIO $XPEV $LI'}"
286,"{'id': '1380138030372126720', 'text': 'Serious Question.\n\nHow do you drive Florida to Michigan straight no stopping (other than typical pit stops) in an Electric Vehicle?  \n\nIs it even possible?\n\n@GM #FoxNews'}"
287,"{'id': '1380137914441555976', 'text': 'BHP, Toyota Australia announce new Light Electric Vehicle trial https://t.co/hvPqaXcNuT https://t.co/pXhoDZLxw1'}"
288,"{'id': '1380137897932754947', 'text': 'EV RECORDING + FAQs LINK HERE: https://t.co/HGCT54fEyO'}"
289,"{'id': '1380137853385125903', 'text': '@TheMushyPea If it’s for low mileage, non-urban use an old but well maintained one is best. The impact of a vehicle’s manufacture is often overlooked in it’s lifetime impact. Electric only balances out after several years &amp; high mileage. Or for emissions purposes in urban areas'}"
290,"{'id': '1380137828466708480', 'text': 'RT @AIOTI_EU: Check out our paper on EV charging user cases https://t.co/4XDNo7dyzO @Natalie_Sam @ENTSO_E @FrancoisFischer  #ElectricVehicl…'}"
291,"{'id': '1380137790101422085', 'text': 'RT @GratomicInc: Gratomic Intends to Fully Power its Aukam Processing Facility Through Solar Energy by 2022\n\nClick the link to view the ful…'}"
292,"{'id': '1380137679560470529', 'text': ""Environmental economist says Sask.’s new electric vehicle fee is 'mind-boggling' https://t.co/cqUKLDPKWQ via @ctvsaskatoon""}"
293,"{'id': '1380137288265502726', 'text': '“Battery As A Service (BAAS)” 🧐\nhttps://t.co/9CADlcpWxj'}"
294,"{'id': '1380137252366340102', 'text': 'RT @RichieMerzian: Victorian focus group backs ban on sale of petrol cars by 2030 as part of electric vehicle push in @theage by @perkinsmi…'}"
